N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
model_1,500,1,1,0.8234865946864006,0.7778645877655461,0.7742204836489898,0.18496420047732698,0.5412569498109034,0.25657787912736824
model_2,500,2,1,0.8193618828096567,0.7712175549866306,0.7845364433906273,0.27684964200477324,0.4159788554387434,0.3034365030023514
model_3,500,3,1,0.8323425937158802,0.7643913537144155,0.7890903073136454,0.25059665871121717,0.417201394824779,0.30572665872581034
model_4,500,1,2,0.8597597961907073,0.8441830383725788,0.8336905080268666,0.36873508353221957,0.7256851985481159,0.470199626550957
model_5,500,2,2,0.884629382506369,0.8761509839809897,0.8735395301207437,0.529236276849642,0.7366892652996005,0.6034672414308739
model_6,500,3,2,0.8994298192405678,0.8937710837948316,0.8946527538060814,0.613961813842482,0.7424560608431583,0.6702669083560526
model_7,800,1,2,0.8612155768530875,0.8531755289829496,0.8475376423092098,0.48448687350835323,0.6424605163454126,0.5186439317349094
model_8,800,2,2,0.8946985320878321,0.8875550013925464,0.8818842949014519,0.5507159904534606,0.8005599939818714,0.6356578633143427
model_9,800,3,2,0.9039184762829067,0.8993062839726562,0.8936345352769571,0.5889021479713604,0.8207418904287,0.669927435250711
model_10,1024,3,2,0.8973674633021959,0.900667724630961,0.8883328828335153,0.5889021479713604,0.8002315979589819,0.6445698927599618
model_11,1536,3,2,0.854785878927575,0.8872986814659457,0.8669083676365255,0.6718377088305489,0.624468874990186,0.630775762033817
model_12,800,4,2,0.893606696591047,0.8930271751359452,0.8843032965482299,0.5823389021479713,0.7776341403842292,0.6382982341614669
model_13,800,5,2,0.8760160135872862,0.8698214106822216,0.8567638997466231,0.4182577565632458,0.8168162815963546,0.5506023612605089
model_14,1024,4,2,0.8848720126167657,0.8917239972911879,0.8857549863367263,0.6288782816229117,0.7112577118140736,0.6577209422889562
model_15,1536,5,2,0.891544340652675,0.8843952758275784,0.8856471365827252,0.584128878281623,0.721351041167356,0.6433164443225027
