N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
model_1,500,1,1,0.8416838529661531,0.8077446479956973,0.8075974438415171,0.2840095465393795,0.5827135683160821,0.3641380203234575
model_2,500,2,1,0.8404707024141695,0.8067053469195312,0.8142247684487189,0.3126491646778043,0.5046366275632337,0.3713923502598161
model_3,500,3,1,0.8341623195438554,0.7753466127921035,0.7924499203877354,0.2595465393794749,0.40564476918917214,0.2851494565744522
model_4,500,1,2,0.8744389178697076,0.8662938251443326,0.8516769859995346,0.42183770883054894,0.7898028469277717,0.5252269345082944
model_5,500,2,2,0.8930001213150552,0.8899796120233604,0.886120058706299,0.5710023866348448,0.7542033210319081,0.6388275392932851
model_6,500,3,2,0.8876622588863278,0.8937803585291801,0.8851489169093187,0.568019093078759,0.725538925587942,0.6204597344265882
model_7,800,1,2,0.8882688341623195,0.8805048724634971,0.8791329461408401,0.5566825775656324,0.6924524318836142,0.6007582900210224
model_8,800,2,2,0.9008855999029479,0.8971058214778297,0.8928816549974379,0.5698090692124105,0.8090932251629551,0.6638352475951793
model_9,800,3,2,0.8784423146912532,0.8896899720449779,0.8745672144620359,0.5071599045346062,0.6958443234786079,0.5559707788357158
model_10,1024,3,2,0.8802620405192284,0.9124376331199873,0.8843224715052346,0.5733890214797136,0.7316368793604145,0.5933592676716278
model_11,1536,3,2,0.9018561203445348,0.901580500694942,0.8976142696869966,0.5930787589498807,0.7675996597489886,0.6622141518195099
model_12,800,4,2,0.8824457115127987,0.8888123902870672,0.8777319072253691,0.5220763723150358,0.6842126408576794,0.565444508070371
model_13,800,5,2,0.8851146427271624,0.8777981000320337,0.8781570501983391,0.5250596658711217,0.6732973567779882,0.5852225712185946
model_14,1024,4,2,0.8930001213150552,0.8948005240103486,0.8908015242220063,0.5966587112171837,0.685844326465846,0.6264404380459498
model_15,1536,5,2,0.8557563993691617,0.8916496920923547,0.8619893313650502,0.5173031026252983,0.6175264056511177,0.5101940082911675
